,Unnamed: 0,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
0,7882,790 ABBOTTS MILL CT,3/3/22,"$351,000.00 ",351000,225,1560,1999,"790 ABBOTTS MILL CT Fulton County, GA","790%20ABBOTTS%20MILL%20CT%20Fulton%20County,%20GA","https://www.google.com/maps/search/790%20ABBOTTS%20MILL%20CT%20Fulton%20County,%20GA",34.0421715,-84.177704
1,7883,2255 PEACHTREE RD NE # 524,3/3/22,"$345,000.00 ",345000,275.5591054,1252,2004,"2255 PEACHTREE RD NE # 524 Fulton County, GA","2255%20PEACHTREE%20RD%20NE%20#%20524%20Fulton%20County,%20GA","https://www.google.com/maps/search/2255%20PEACHTREE%20RD%20NE%20#%20524%20Fulton%20County,%20GA",33.8395469,-84.3796722
2,7884,2656 DOBBS CIR NW,3/3/22,"$1,670,000.00 ",1670000,366.7911267,4553,1999,"2656 DOBBS CIR NW Fulton County, GA","2656%20DOBBS%20CIR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2656%20DOBBS%20CIR%20NW%20Fulton%20County,%20GA",33.8273364,-84.4309087
3,7885,2963 STONE RD,3/3/22,"$227,000.00 ",227000,133.4509112,1701,1956,"2963 STONE RD Fulton County, GA","2963%20STONE%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/2963%20STONE%20RD%20Fulton%20County,%20GA",33.6666345,-84.4855275
4,7886,2841 LAUREL RIDGE CIR,3/3/22,"$174,000.00 ",174000,140.776699,1236,2009,"2841 LAUREL RIDGE CIR Fulton County, GA","2841%20LAUREL%20RIDGE%20CIR%20Fulton%20County,%20GA","https://www.google.com/maps/search/2841%20LAUREL%20RIDGE%20CIR%20Fulton%20County,%20GA",33.6498217,-84.4933963
5,7887,848 BOLTON RD NW,3/3/22,"$150,000.00 ",150000,150,1000,1960,"848 BOLTON RD NW Fulton County, GA","848%20BOLTON%20RD%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/848%20BOLTON%20RD%20NW%20Fulton%20County,%20GA",33.7783978,-84.5006084
6,7888,3435 KINGSBORO RD NE 802,3/3/22,"$360,000.00 ",360000,214.2857143,1680,1991,"3435 KINGSBORO RD NE 802 Fulton County, GA","3435%20KINGSBORO%20RD%20NE%20802%20Fulton%20County,%20GA","https://www.google.com/maps/search/3435%20KINGSBORO%20RD%20NE%20802%20Fulton%20County,%20GA",33.8493558,-84.3585759
3464,11346,1 PLANTATION DR NE # B,5/13/22,"$347,000.00 ",347000,212.2324159,1635,1983,"1 PLANTATION DR NE # B Fulton County, GA","1%20PLANTATION%20DR%20NE%20#%20B%20Fulton%20County,%20GA","https://www.google.com/maps/search/1%20PLANTATION%20DR%20NE%20#%20B%20Fulton%20County,%20GA",33.83747117,-84.35786155
8,7890,4565 KENT RD,3/3/22,"$289,900.00 ",289900,198.2900137,1462,2001,"4565 KENT RD Fulton County, GA","4565%20KENT%20RD%20Fulton%20County,%20GA","https://www.google.com/maps/search/4565%20KENT%20RD%20Fulton%20County,%20GA",33.6311885,-84.4813212
9,7891,1040 WOODLAND AVE SE,3/3/22,"$527,500.00 ",527500,438.8519135,1202,1925,"1040 WOODLAND AVE SE Fulton County, GA","1040%20WOODLAND%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1040%20WOODLAND%20AVE%20SE%20Fulton%20County,%20GA",33.7259616,-84.3523534
10,7892,333 PATTERSON WAY,3/3/22,"$1,290,000.00 ",1290000,559.1677503,2307,2016,"333 PATTERSON WAY Fulton County, GA","333%20PATTERSON%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/333%20PATTERSON%20WAY%20Fulton%20County,%20GA",33.7626557,-84.3607565
11,7893,442 BURGUNDY TER,3/3/22,"$434,990.00 ",434990,189.9519651,2290,2021,"442 BURGUNDY TER Fulton County, GA","442%20BURGUNDY%20TER%20Fulton%20County,%20GA","https://www.google.com/maps/search/442%20BURGUNDY%20TER%20Fulton%20County,%20GA",33.6805847,-84.3697508
12,7894,480 JOHN WESLEY DOBBS AVE LOT 602,3/3/22,"$420,000.00 ",420000,346.8208092,1211,2007,"480 JOHN WESLEY DOBBS AVE LOT 602 Fulton County, GA","480%20JOHN%20WESLEY%20DOBBS%20AVE%20LOT%20602%20Fulton%20County,%20GA","https://www.google.com/maps/search/480%20JOHN%20WESLEY%20DOBBS%20AVE%20LOT%20602%20Fulton%20County,%20GA",33.7597896,-84.3713699
13,7895,821 DURANT PL NE # 4,3/3/22,"$205,000.00 ",205000,251.2254902,816,1963,"821 DURANT PL NE # 4 Fulton County, GA","821%20DURANT%20PL%20NE%20#%204%20Fulton%20County,%20GA","https://www.google.com/maps/search/821%20DURANT%20PL%20NE%20#%204%20Fulton%20County,%20GA",33.7770033,-84.3748864
14,7896,33 PONCE DE LEON AVE NE 310,3/3/22,"$393,000.00 ",393000,301.1494253,1305,1961,"33 PONCE DE LEON AVE NE 310 Fulton County, GA","33%20PONCE%20DE%20LEON%20AVE%20NE%20310%20Fulton%20County,%20GA","https://www.google.com/maps/search/33%20PONCE%20DE%20LEON%20AVE%20NE%20310%20Fulton%20County,%20GA",33.7719666,-84.3863837
15,7897,126 RENAISSANCE PKWY LOT 201,3/3/22,"$571,000.00 ",571000,540.719697,1056,2021,"126 RENAISSANCE PKWY LOT 201 Fulton County, GA","126%20RENAISSANCE%20PKWY%20LOT%20201%20Fulton%20County,%20GA","https://www.google.com/maps/search/126%20RENAISSANCE%20PKWY%20LOT%20201%20Fulton%20County,%20GA",33.7689386,-84.3830941
16,7898,100 BROWN AVE SE,3/3/22,"$306,000.00 ",306000,313.8461538,975,1935,"100 BROWN AVE SE Fulton County, GA","100%20BROWN%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20BROWN%20AVE%20SE%20Fulton%20County,%20GA",33.7138865,-84.3849847
17,7899,1256 OAKLAND TER SW,3/3/22,"$550,000.00 ",550000,259.4339623,2120,1930,"1256 OAKLAND TER SW Fulton County, GA","1256%20OAKLAND%20TER%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1256%20OAKLAND%20TER%20SW%20Fulton%20County,%20GA",33.7208664,-84.4291241
18,7900,1900 WEST FORREST AVE,3/3/22,"$275,000.00 ",275000,299.5642702,918,1943,"1900 WEST FORREST AVE Fulton County, GA","1900%20WEST%20FORREST%20AVE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1900%20WEST%20FORREST%20AVE%20Fulton%20County,%20GA",33.686048,-84.4506995
19,7901,2015 CASCADE RD SW,3/3/22,"$416,000.00 ",416000,298.4218077,1394,1950,"2015 CASCADE RD SW Fulton County, GA","2015%20CASCADE%20RD%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2015%20CASCADE%20RD%20SW%20Fulton%20County,%20GA",33.7215836,-84.4542878
20,7902,12535 CELESTINE WAY,3/3/22,"$1,496,491.00 ",1496491,306.6579918,4880,2021,"12535 CELESTINE WAY Fulton County, GA","12535%20CELESTINE%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/12535%20CELESTINE%20WAY%20Fulton%20County,%20GA",34.0983238,-84.3843917
