,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,full_address,Address_URL,url,lat,long
3,3530 PIEDMONT RD NE # F 11,2/27/23,"$375,000.00 ",375000,245.5795678,1527,1976,"3530 PIEDMONT RD NE # F 11 Fulton County, GA","3530%20PIEDMONT%20RD%20NE%20#%20F%2011%20Fulton%20County,%20GA","https://www.google.com/maps/search/3530%20PIEDMONT%20RD%20NE%20#%20F%2011%20Fulton%20County,%20GA",33.8489873,-84.3795589
11,968 WELCH ST SE,2/28/23,"$127,000.00 ",127000,127,1000,1952,"968 WELCH ST SE Fulton County, GA","968%20WELCH%20ST%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/968%20WELCH%20ST%20SE%20Fulton%20County,%20GA",33.7081898,-84.3571795
14,845 SPRING ST NW 229,2/28/23,"$588,500.00 ",588500,349.2581602,1685,2002,"845 SPRING ST NW 229 Fulton County, GA","845%20SPRING%20ST%20NW%20229%20Fulton%20County,%20GA","https://www.google.com/maps/search/845%20SPRING%20ST%20NW%20229%20Fulton%20County,%20GA",33.7778129,-84.3880635
21,606 WILLARD AVE SW,2/28/23,"$199,000.00 ",199000,52.10788164,3819,1930,"606 WILLARD AVE SW Fulton County, GA","606%20WILLARD%20AVE%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/606%20WILLARD%20AVE%20SW%20Fulton%20County,%20GA",33.7387786,-84.4368979
22,839 ROCHELLE DR SW,2/28/23,"$425,000.00 ",425000,204.1306436,2082,1946,"839 ROCHELLE DR SW Fulton County, GA","839%20ROCHELLE%20DR%20SW%20Fulton%20County,%20GA","https://www.google.com/maps/search/839%20ROCHELLE%20DR%20SW%20Fulton%20County,%20GA",33.7323007,-84.4341495
23,250 CHILDS DR NW,2/28/23,"$150,000.00 ",150000,132.0422535,1136,1955,"250 CHILDS DR NW Fulton County, GA","250%20CHILDS%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/250%20CHILDS%20DR%20NW%20Fulton%20County,%20GA",33.7620956,-84.4367339
24,250 CHILDS DR NW,2/28/23,"$165,000.00 ",165000,145.2464789,1136,1955,"250 CHILDS DR NW Fulton County, GA","250%20CHILDS%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/250%20CHILDS%20DR%20NW%20Fulton%20County,%20GA",33.7620956,-84.4367339
26,2061 NORTH AVE NW,2/28/23,"$314,000.00 ",314000,287.8093492,1091,1959,"2061 NORTH AVE NW Fulton County, GA","2061%20NORTH%20AVE%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/2061%20NORTH%20AVE%20NW%20Fulton%20County,%20GA",33.7693811,-84.4555248
27,950 WEST PEACHTREE ST # 1807,2/28/23,"$620,000.00 ",620000,410.0529101,1512,2006,"950 WEST PEACHTREE ST # 1807 Fulton County, GA","950%20WEST%20PEACHTREE%20ST%20#%201807%20Fulton%20County,%20GA","https://www.google.com/maps/search/950%20WEST%20PEACHTREE%20ST%20#%201807%20Fulton%20County,%20GA",33.78023782,-84.38774095
851,100 BISCAYNE DR # C 1,2/3/23,"$170,000.00 ",170000,164.0926641,1036,1964,"100 BISCAYNE DR # C 1 Fulton County, GA","100%20BISCAYNE%20DR%20#%20C%201%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20BISCAYNE%20DR%20#%20C%201%20Fulton%20County,%20GA",33.81538775,-84.39473208
29,2255 PEACHTREE RD NE # 522,2/28/23,"$300,000.00 ",300000,322.5806452,930,2004,"2255 PEACHTREE RD NE # 522 Fulton County, GA","2255%20PEACHTREE%20RD%20NE%20#%20522%20Fulton%20County,%20GA","https://www.google.com/maps/search/2255%20PEACHTREE%20RD%20NE%20#%20522%20Fulton%20County,%20GA",33.8395469,-84.3796722
30,1125 WINDING CREEK TRL NW,2/28/23,"$805,000.00 ",805000,312.0155039,2580,1965,"1125 WINDING CREEK TRL NW Fulton County, GA","1125%20WINDING%20CREEK%20TRL%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/1125%20WINDING%20CREEK%20TRL%20NW%20Fulton%20County,%20GA",33.9286054,-84.408259
31,4722 WOODVALE DR NW,2/28/23,"$1,400,000.00 ",1400000,373.0349054,3753,1954,"4722 WOODVALE DR NW Fulton County, GA","4722%20WOODVALE%20DR%20NW%20Fulton%20County,%20GA","https://www.google.com/maps/search/4722%20WOODVALE%20DR%20NW%20Fulton%20County,%20GA",33.8853933,-84.4208585
37,1421 WESSYNGTON RD NE,2/28/23,"$1,650,000.00 ",1650000,447.6397179,3686,2007,"1421 WESSYNGTON RD NE Fulton County, GA","1421%20WESSYNGTON%20RD%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1421%20WESSYNGTON%20RD%20NE%20Fulton%20County,%20GA",33.7934623,-84.3553949
38,2302 PINE HEIGHTS DR,2/28/23,"$279,000.00 ",279000,223.378703,1249,1986,"2302 PINE HEIGHTS DR Fulton County, GA","2302%20PINE%20HEIGHTS%20DR%20Fulton%20County,%20GA","https://www.google.com/maps/search/2302%20PINE%20HEIGHTS%20DR%20Fulton%20County,%20GA",33.829183,-84.357407
39,157 BARKLEY LN,2/28/23,"$565,000.00 ",565000,240.2210884,2352,2014,"157 BARKLEY LN Fulton County, GA","157%20BARKLEY%20LN%20Fulton%20County,%20GA","https://www.google.com/maps/search/157%20BARKLEY%20LN%20Fulton%20County,%20GA",33.9150898,-84.363267
40,325 EAST PACES FERRY RD # 1708,2/28/23,"$428,000.00 ",428000,302.0465773,1417,2004,"325 EAST PACES FERRY RD # 1708 Fulton County, GA","325%20EAST%20PACES%20FERRY%20RD%20#%201708%20Fulton%20County,%20GA","https://www.google.com/maps/search/325%20EAST%20PACES%20FERRY%20RD%20#%201708%20Fulton%20County,%20GA",33.8388271,-84.376744
41,240 LEGRAN BEND,2/28/23,"$356,750.00 ",356750,307.5431034,1160,2005,"240 LEGRAN BEND Fulton County, GA","240%20LEGRAN%20BEND%20Fulton%20County,%20GA","https://www.google.com/maps/search/240%20LEGRAN%20BEND%20Fulton%20County,%20GA",33.9188761,-84.3835247
42,2795 PEACHTREE RD NE LOT 2103,2/28/23,"$460,000.00 ",460000,331.1735061,1389,2007,"2795 PEACHTREE RD NE LOT 2103 Fulton County, GA","2795%20PEACHTREE%20RD%20NE%20LOT%202103%20Fulton%20County,%20GA","https://www.google.com/maps/search/2795%20PEACHTREE%20RD%20NE%20LOT%202103%20Fulton%20County,%20GA",33.8309683,-84.3854293
