,Address,sale_date,sale_price,salePrice_numeric,price_SF,sq_ft,yr_built,unique_ID,full_address,Address_URL,url,lat,long
1013,100 BISCAYNE DR # C 1,4/25/23,"$325,000.00 ",325000,313.7065637,1036,1964,100BISCAYNEDR#C1-2023-04-25-325000,"100 BISCAYNE DR # C 1 Fulton County, GA","100%20BISCAYNE%20DR%20#%20C%201%20Fulton%20County,%20GA","https://www.google.com/maps/search/100%20BISCAYNE%20DR%20#%20C%201%20Fulton%20County,%20GA",33.81533598,-84.39466775
579,1602 WOODCLIFF DR NE,6/21/23,"$268,000.00 ",268000,236.9584439,1131,1982,1602WOODCLIFFDRNE-2023-06-21-268000,"1602 WOODCLIFF DR NE Fulton County, GA","1602%20WOODCLIFF%20DR%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/1602%20WOODCLIFF%20DR%20NE%20Fulton%20County,%20GA",33.978855,-84.3561972
580,11870 NORTH HICKORY TRL,6/21/23,"$590,000.00 ",590000,207.6733545,2841,1986,11870NORTHHICKORYTRL-2023-06-21-590000,"11870 NORTH HICKORY TRL Fulton County, GA","11870%20NORTH%20HICKORY%20TRL%20Fulton%20County,%20GA","https://www.google.com/maps/search/11870%20NORTH%20HICKORY%20TRL%20Fulton%20County,%20GA",33.5874773,-84.4896355
581,783 ESSIE AVE SE,6/13/23,"$395,000.00 ",395000,255.4980595,1546,1920,783ESSIEAVESE-2023-06-13-395000,"783 ESSIE AVE SE Fulton County, GA","783%20ESSIE%20AVE%20SE%20Fulton%20County,%20GA","https://www.google.com/maps/search/783%20ESSIE%20AVE%20SE%20Fulton%20County,%20GA",33.7330181,-84.3555714
582,855 HIGHLAND BEND COVE,6/12/23,"$975,000.00 ",975000,238.6780906,4085,1996,855HIGHLANDBENDCOVE-2023-06-12-975000,"855 HIGHLAND BEND COVE Fulton County, GA","855%20HIGHLAND%20BEND%20COVE%20Fulton%20County,%20GA","https://www.google.com/maps/search/855%20HIGHLAND%20BEND%20COVE%20Fulton%20County,%20GA",34.0422531,-84.2573878
1321,1055 ADAM CIR,3/31/23,"$541,975.00 ",541975,273.7247475,1980,2022,1055ADAMCIR-2023-03-31-541975,"1055 ADAM CIR Fulton County, GA","1055%20ADAM%20CIR%20Fulton%20County,%20GA","https://www.google.com/maps/search/1055%20ADAM%20CIR%20Fulton%20County,%20GA",34.00109572,-84.2936585
584,906 WINALL DOWN RD NE,6/12/23,"$2,900,000.00 ",2900000,657.8947368,4408,2016,906WINALLDOWNRDNE-2023-06-12-2900000,"906 WINALL DOWN RD NE Fulton County, GA","906%20WINALL%20DOWN%20RD%20NE%20Fulton%20County,%20GA","https://www.google.com/maps/search/906%20WINALL%20DOWN%20RD%20NE%20Fulton%20County,%20GA",33.8644564,-84.3576143
585,3145 SAINT IVES CTRY CLUB PKWY,6/9/23,"$1,225,388.00 ",1225388,267.5519651,4580,1991,3145SAINTIVESCTRYCLUBPKWY-2023-06-09-1225388,"3145 SAINT IVES CTRY CLUB PKWY Fulton County, GA","3145%20SAINT%20IVES%20CTRY%20CLUB%20PKWY%20Fulton%20County,%20GA","https://www.google.com/maps/search/3145%20SAINT%20IVES%20CTRY%20CLUB%20PKWY%20Fulton%20County,%20GA",34.0246752,-84.1749588
586,255 WINDING RIVER DR UNIT E,6/9/23,"$242,000.00 ",242000,182.5037707,1326,1970,255WINDINGRIVERDRUNITE-2023-06-09-242000,"255 WINDING RIVER DR UNIT E Fulton County, GA","255%20WINDING%20RIVER%20DR%20UNIT%20E%20Fulton%20County,%20GA","https://www.google.com/maps/search/255%20WINDING%20RIVER%20DR%20UNIT%20E%20Fulton%20County,%20GA",33.996894,-84.3483003
587,10750 MORTON CHASE WAY,6/9/23,"$412,000.00 ",412000,292.6136364,1408,1994,10750MORTONCHASEWAY-2023-06-09-412000,"10750 MORTON CHASE WAY Fulton County, GA","10750%20MORTON%20CHASE%20WAY%20Fulton%20County,%20GA","https://www.google.com/maps/search/10750%20MORTON%20CHASE%20WAY%20Fulton%20County,%20GA",34.0431974,-84.2159742
