,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,lat,long
0,4620 WIEUCA RD NE 66,12/30/22,"$335,000.00 ",335000,172.3251029,1944,1971,33.8733767,-84.3791894
1,943 PEACHTREE ST NE # 1703,12/30/22,"$303,000.00 ",303000,435.3448276,696,2002,33.7804915,-84.3835658
2,4682 TALL PINES DR NW,12/30/22,"$1,480,000.00 ",1480000,364.5320197,4060,1965,33.8830686,-84.3917633
3,2081 DELLWOOD DR NW,12/30/22,"$810,000.00 ",810000,353.4031414,2292,1942,33.8120742,-84.3971678
4,124 AMHERST PL NW,12/30/22,"$282,000.00 ",282000,204.0520984,1382,1968,33.819172,-84.427646
5,3045 WINDCREST CT,12/30/22,"$375,000.00 ",375000,226.7230955,1654,2011,33.9851201,-84.2720831
6,160 CHESTER AVE SE,12/30/22,"$630,000.00 ",630000,435.6846473,1446,1920,33.7496494,-84.3589935
7,1419 FUNSTON ST SE,12/30/22,"$218,000.00 ",218000,193.2624113,1128,1950,33.7153974,-84.3655618
8,1985 WINDING CROSSING TRL,12/30/22,"$348,500.00 ",348500,128.3136966,2716,2004,33.5760929,-84.5887415
9,380 HERRON CV,12/30/22,"$520,000.00 ",520000,88.76749744,5858,2012,33.6481241,-84.5560012
10,6054 CHINAROSE LN,12/30/22,"$505,000.00 ",505000,231.2271062,2184,2005,34.0456969,-84.1822014
11,520 DORCHESTER CROSSING,12/30/22,"$575,000.00 ",575000,209.7774535,2741,1996,34.0428726,-84.1869679
12,105 LAUREL CREST ALY,12/30/22,"$515,000.00 ",515000,287.7094972,1790,2016,34.0533801,-84.1285569
13,4802 RALIN CT,12/30/22,"$445,000.00 ",445000,126.8529076,3508,2021,33.6544702,-84.5457662
14,5395 LEMOYNE DR,12/30/22,"$400,000.00 ",400000,137.0332306,2919,2004,33.6863991,-84.5645972
15,7385 HIGHLAND BLUFF,12/30/22,"$442,000.00 ",442000,290.0262467,1524,2013,33.9520827,-84.3652054
16,4630 CANYON CREEK TRL,12/30/22,"$699,000.00 ",699000,384.2770753,1819,1957,33.8815503,-84.3660547
17,287 MAC KENZIE DR NE,12/30/22,"$835,000.00 ",835000,287.9310345,2900,1920,33.7622217,-84.3701929
18,1385 FAIRBANKS ST SW,12/30/22,"$510,000.00 ",510000,310.0303951,1645,1920,33.7170307,-84.4153331
19,788 WEST MARIETTA ST NW UNIT 1412,12/30/22,"$335,000.00 ",335000,543.8311688,616,2020,33.7798962,-84.4134852
20,2997 SYLVAN RD,12/30/22,"$249,900.00 ",249900,249.9,1000,1942,33.6733672,-84.4191366
21,117 SCOTT ST NW,12/30/22,"$298,800.00 ",298800,142.6934097,2094,2008,33.7585838,-84.4321804
22,2679 DELOWE DR,12/30/22,"$360,000.00 ",360000,299.0033223,1204,1966,33.6822608,-84.4580194
23,2112 GARRISON WAY,12/30/22,"$524,900.00 ",524900,215.1229508,2440,2014,33.8130597,-84.4809779
24,605 SOUTHFIELD PL,12/30/22,"$710,000.00 ",710000,221.4597629,3206,2001,34.0937345,-84.292648
25,721 WEDGEWOOD DR,12/30/22,"$395,000.00 ",395000,290.4411765,1360,1970,34.079458,-84.2764965
26,1 BISCAYNE DR NW # #211,3/4/22,"$280,000.00 ",280000,254.5454545,1100,1997,33.81554093,-84.39280001
27,3100 RAVEN TRC,12/30/22,"$242,210.00 ",242210,146.7939394,1650,2006,33.5767693,-84.5772638
28,4213 SHOALS LN,12/30/22,"$240,000.00 ",240000,131.7957166,1821,2019,33.5847869,-84.522955
29,510 DALRYMPLE RD NE,12/30/22,"$657,000.00 ",657000,283.4339948,2318,1973,33.9560515,-84.3693943
30,2870 PHARR COURT SOUTH NW #2308,12/30/22,"$180,000.00 ",180000,331.4917127,543,1988,33.8337828,-84.3855828
31,1267 HOLLY ST NW,12/30/22,"$475,000.00 ",475000,534.9099099,888,1940,33.7894302,-84.3956583
32,33 CAMDEN RD NE,12/30/22,"$1,185,000.00 ",1185000,557.9096045,2124,1987,33.8076301,-84.3903628
33,2422 SAGAMORE DR NW,12/30/22,"$875,000.00 ",875000,414.6919431,2110,2008,33.8213837,-84.4069457
34,604 CEDAR AVE NW,12/30/22,"$380,000.00 ",380000,263.8888889,1440,1950,33.7715709,-84.4658407
